"Summary of JAGS with all replications"
"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"Gstar",35.4489733940523,2.65639268106794,29.7939063372983,33.7577040773801,35.641472880113,37.2854370649336,40.1994252959373,1.00257521974568,2100
"J[1]",179.628195518457,2.73894412264279,174.136293078677,177.842430764894,179.621391931679,181.463703404179,185.038548199516,1.0018080882934,2300
"J[2]",50.3721848117287,1.04133164880402,48.2736366915583,49.7039083596346,50.3706349784257,51.0621901493206,52.4004533118648,1.00338812564974,1100
"J[3]",35.2209424739349,0.72210613085753,33.7604049948657,34.7522230752861,35.2213561608953,35.694621793061,36.6324988634283,1.00263642145977,1300
"J[4]",18.5308063686721,0.379897192434823,17.7612371860371,18.2838629866511,18.5327501650331,18.7819653910001,19.2744202354225,1.00297989544344,1200
"Km",428,0,428,428,428,428,428,1,1
"Resp",1.65785250764917,0.384998430206549,0.945417173263641,1.39465391158634,1.64104531166991,1.90375537844157,2.46628554060942,1.001582100149,3200
"Vcmax",100.988533847772,4.93461492902192,94.0047634353326,97.5594620822904,100.050002310786,103.432240714328,113.087164299062,1.00298955349809,980
"rm",0.490235477369651,0.405584892429389,0.0263662145447424,0.179945023234257,0.382932675765639,0.693334665284721,1.50878212888668,1.00164425309071,2900
"s",0.299870804545044,0.00583455345543598,0.287963681999424,0.296202496805214,0.299862449196111,0.303755240205603,0.311223383767004,1.00325181308662,1100

"Summary of JAGS with replication No.1"
"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"Gstar",28.458218381061,3.56199674949832,20.929142617826,26.2439930864454,28.5673461845664,30.8329189818271,35.1516176666869,1.00156261653067,3300
"J[1]",157.392225284684,4.21182538350704,148.679126401758,154.725981977773,157.458243524327,160.15548896736,165.64212673461,1.00537538734914,450
"J[2]",46.6035730318783,1.41455027259468,43.7406631517976,45.7028921428368,46.6042013648628,47.5186735796433,49.455039480863,1.00572426476214,420
"J[3]",33.2954397971951,1.00361726396675,31.2555601873515,32.6561331930661,33.298952822225,33.9497598695022,35.2935424538754,1.00656011144793,360
"J[4]",17.7592197981612,0.535832156256132,16.6840440632692,17.4115507160888,17.7635660043675,18.1025347542409,18.8255208477615,1.00645983769473,370
"Km",428,0,428,428,428,428,428,1,1
"Resp",2.62226068945292,0.613128109027441,1.48279631206976,2.20805852671111,2.59824544632676,3.0040398061465,3.91255459650219,1.00218247323595,1600
"Vcmax",106.092961122087,7.30707480693176,95.1099419217771,101.236598467892,104.985451304707,109.45297916404,124.69669848946,1.00187485611066,2200
"rm",0.556892562417784,0.503070903723729,0.0254732985612841,0.185445932654405,0.414352019871341,0.780682250513007,1.89917645507332,1.00098747005033,30000
"s",0.280124062726767,0.00826659737619284,0.26321058296235,0.274844694795204,0.280196582288323,0.285468749162768,0.296608218717581,1.00648089498424,370

"Summary of JAGS with replication No.2"
"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"Gstar",35.6390294450023,5.13271699320898,23.9032809669593,32.6236994268845,36.001571755366,39.0085919434838,44.8900154593716,1.0026088087775,2100
"J[1]",196.495454126462,6.71195456922595,183.500147013599,191.968229254631,196.505874878816,200.961484564164,209.717134157226,1.00385885228095,750
"J[2]",52.1431316767466,2.1600907752559,48.1307482276436,50.6640143765372,52.0877863819165,53.5661822763072,56.4893452870591,1.00421392787814,630
"J[3]",35.3046121222403,1.46554192431061,32.5949597280786,34.3048945898678,35.270791282257,36.2919402899957,38.2452508081327,1.00407364338241,740
