"Summary of JAGS with all replications"
"","mean","sd","Rhat"
"Gstar",33.6318284944106,2.59694865245877,1.00528849858055
"J[1]",175.873726991613,2.63912289407119,1.00674137380144
"J[2]",48.7360922203088,1.14147940170111,1.01037031665065
"J[3]",33.9052152926788,0.792302227391404,1.01020380153004
"J[4]",17.8288980112131,0.413893440548072,1.01067294465992
"Km",427.7,0,1
"Resp",1.70353963212377,0.37563120087521,1.00186241395076
"Vcmax",103.246976438881,5.10137911053354,1.0042509224634
"rm",0.493517642192218,0.39952526834896,1.00329050577194
"s",0.295241935687155,0.00638152911383292,1.01179396465685

"Summary of JAGS with replication No.1"
"","mean","sd","Rhat"
"Gstar",23.8325807327773,5.52826881344844,1.02074662599174
"J[1]",163.727365098482,7.39330539111632,1.06906508060366
"J[2]",42.6615060866395,2.08051513753259,1.0728039673807
"J[3]",28.9646743013186,1.4110667874168,1.0733067185351
"J[4]",15.1864192196483,0.738811784374828,1.0729586025986
"Km",427.7,0,1
"Resp",2.19666318483301,0.973917552481174,1.00268880091734
"Vcmax",124.845011731348,21.0240687989701,1.01141829879098
"rm",1.52205313624952,1.09114173715696,1.00610212627382
"s",0.277509234699814,0.0133080504591161,1.07512473762904

"Summary of JAGS with replication No.2"
"","mean","sd","Rhat"
"Gstar",28.3017765094019,3.59198880585056,1.00675755528318
"J[1]",157.306509055065,4.79967251868143,1.01376572845609
"J[2]",46.5797769675088,1.62389540244272,1.01677029769211
"J[3]",33.2750923736396,1.15735164756557,1.01663173899887
"J[4]",17.7505140481696,0.615912797703801,1.01681881025486
"Km",427.7,0,1
"Resp",2.63621775797445,0.605981169765585,1.00207647724349
"Vcmax",106.295001375052,7.30922839814995,1.0050387243071
"rm",0.575677787262085,0.511957544881711,1.00332240906416
"s",0.2799678393266,0.00953806297756531,1.01699261072833

"Summary of JAGS with replication No.3"
"","mean","sd","Rhat"
"Gstar",35.4719549914522,4.96949637464978,1.00818887314555
"J[1]",196.680153693586,6.13226855207385,1.02793519689208
"J[2]",52.1921390496105,1.95743924811348,1.03244852550336
"J[3]",35.3437779393154,1.32081661231508,1.03118780840642
"J[4]",18.353058083965,0.682312860185985,1.03354726676483
"Km",427.7,0,1
"Resp",2.73424278086492,0.79079991557358,1.00101900619765
"Vcmax",109.939792013544,8.86129085997222,1.0027347521564
"rm",0.620684959640736,0.601268251529398,1.00168869007172
"s",0.304200258704876,0.0109004604505244,1.03467309047439

"Summary of JAGS with replication No.4"
"","mean","sd","Rhat"
"Gstar",32.0361918627876,2.33396231501147,1.01727982629605
"J[1]",168.758527317836,1.4930244322243,1.00646973233785
"J[2]",49.479951580542,0.74458508940383,1.00832669025006
"J[3]",35.9595268225774,0.536577307615166,1.00742225654711
"J[4]",19.0712968892114,0.283623982767097,1.0081647701694
"Km",427.7,0,1
"Resp",1.24454355900668,0.299065530613483,1.00808021674658
"Vcmax",101.608897458337,5.94267871263126,1.02124164896169
"rm",1.04500791078962,0.493852393048524,1.00630971607331
"s",0.307933910746037,0.00432132490779236,1.0089808430286

"Summary of JAGS with replication No.5"
"","mean","sd","Rhat"
"Gstar",31.2014421688372,3.73938377542224,1.00903409830793
"J[1]",187.414558912544,3.32690309550716,1.00270472569487
"J[2]",51.2431576013092,1.19639078423149,1.0037435342837
"J[3]",34.8717328362718,0.815540886322443,1.00490701957909
"J[4]",18.1860875358382,0.423921843144764,1.00448269939889
"Km",427.7,0,1
"Resp",1.74832320753659,0.548918059918638,1.00694370217368
"Vcmax",110.108227470381,9.60934258343882,1.01446855988412
"rm",0.98478177971768,0.707352939440655,1.00791159620428
"s",0.295665020218155,0.0065520109610742,1.00497012017252

